Country,Minimum wage,Annual,Annual,Workweek (hours)[4],Hourly,Hourly,Percent of GDP per capita[5],Effective per
Cuba,"Cu$2,100 (US$80) per month.[78] Each citizen is however also given free food to supplement the salary.",44.0,669.0,48,0.44,0.74,0.4%,2021
Cyprus,"None; €870 (US$1,006) per month for shop assistants, nurses' assistants, clerks, hairdressers, and nursery assistants; it rises to €924 (US$1,069) after six months' employment. For asylum seekers working as unskilled workers in the agricultural sector, the minimum monthly wage was €425 (US$570) with accommodation and food provided. For skilled workers in the agricultural sector, the minimum salary was €767 (US$1,040) without accommodation and food.[10]",,,48,,,,2017
Czech Republic,"Kč 16,200 per month, (US$686) or Kč 90.5 (US$3.84) per hour.[79][18][80]",8683.0,13182.0,40,4.17,6.34,37.9%,1 January 2022
Denmark,"None; instead, negotiated between unions and employer associations; the average minimum wage for all private and public sector collective bargaining agreements was approximately DKr 110 (nominally US$16) per hour, exclusive of pension benefits.[10][81]",,,37.5,,,,2017
Djibouti,"None; cancelled by the 2006 Labor Code for occupational categories, establishing that wages be set after common agreement between employers and employees. For public sector workers, minimum wage was Fdj 35,000 (US$198) per month.[10][82]",,,48,,,,2017
Dominica,EC$4 (US$1.50) per hour.[10][83][84],3081.0,4223.0,40,1.48,2.03,38.6%,1 June 2008
Dominican Republic,"RD$8,310 (US$166) per month in the FTZs and between RD$9,412 (US$188) and RD$15,448 (US$309) outside the FTZs, depending upon the size of the company; RD$5,884 (US$117) per month for the public sector; RD$320 (US$6) a day for farm workers who are covered by minimum wage regulations based on a 10-hour day, with the exception of sugarcane workers who received RD$146 based on an eight-hour workday.[10][85][86]",2613.0,6704.0,44,1.14,2.93,44.1%,2021
Ecuador,"US$475 per month (for month average, including proportional 13th and 14th salaries and minimal 15 days vacation period). The minimum wage has been set by the government at $450, per month without social benefits for the year 2023, but a worker also receives mandatory 13rd and a 14th salary.[87]",5850.0,9590.0,40,2.81,4.61,85.3%,1 January 2023
Egypt,"None;The minimum wage is LE 4,000 (US$130.1) per month.[10][88] The private sector (There are certain grace periods in certain industries such as tourism, retail, and clothing.) is LE 2,700 (US$87.8)per month.[89][90]",,,42,,,,2023
El Salvador,The minimum wage was set by the government at US$304.17 monthly in 2018.[10][18][91],3650.0,7019.0,44,1.6,3.07,81.5%,1 January 2018
Equatorial Guinea,"F.CFA 129,035 (US$224) per month.[10]",2792.0,4479.0,48,1.12,1.79,17.2%,2017
Eritrea,None; Nkf 360 (US$23.3) per month in the public sector.[10],,,44.5,,,,2017
Estonia,"€725 (US$857) per month, or €4.30 (US$5.09) per hour.[92][18]",10578.0,14662.0,40,5.09,7.05,49.3%,1 January 2023
Eswatini,E 531.6 (US$76.50) per month for a domestic worker; E 420 (US$60.50) a month for an unskilled worker; E 600 (US$86.50) a month for a skilled worker.[82],694.0,1128.0,48,0.33,0.54,19%,2011
Ethiopia,"None; some government institutions and public enterprises set their own minimum wages: public sector employees, the largest group of wage earners, earned a monthly minimum wage of Br 420 (US$21); employees in the banking and insurance sector had a minimum monthly wage of Br 336 (US$18).[10]",,,48,,,,2017
Federated States of Micronesia,"None; US$2.65 per hour for employment with the national government; all states have a minimum hourly wage for government workers: US$2.00 in Pohnpei, US$1.25 in Chuuk, US$1.42 in Kosrae, and US$1.60 in Yap; US$1.75 for private sector workers in Pohnpei.[10]",,,40,,,,2015
Fiji,FJ$2.68 per hour.[93][94],3232.0,5226.0,48,1.29,2.09,57.4%,30 September 2017
Finland,"None; however, the law requires all employers, including non-unionized ones, to pay minimum wages agreed to in collective bargaining agreements; almost all workers are covered under such arrangements.[10]",,,40,,,,2017
France,"€1,709.28 (US$2022) gross per month, €11.27(US$12.5) per hour.[95]",24259.0,23576.0,35,13.33,12.95,57%,1 January 2023
Gabon,"F.CFA 150,000 (US$255) per month; government workers received an additional monthly allowance of F.CFA 20,000 (US$34) per child; government workers also received transportation, housing, and family benefits; the law does not mandate housing or family benefits for private sector workers.[10][96]",3246.0,4865.0,40,1.56,2.34,26.9%,1 February 2010
The Gambia,D 50 (US$1.25) per day.[10],253.0,958.0,48,0.1,0.38,57.1%,2017
Georgia,"₾20 (US$8) per month for private sector workers which has remained unchanged since the early 1990s but is not applied in practice; ₾115 (US$48) per month for public employees;[10] ₾1,260 (US$478) for doctors and ₾792 (US$301) for nurses working in clinics involved in the state’s universal healthcare program.[97]",93.0,353.0,40,0.04,0.17,3.5%,2017
Germany,€12 per hour is the minimum wage in Germany. A higher minimum wage is often set by collective bargaining agreements and enforceable by law.[18],29520.0,30072.0,40[98],14.19,14.46,61.5%,1 October 2022
Ghana,₵9.68 (US$1.7) per day.[18][10][99],433.0,1760.0,40,0.21,0.85,41%,1 January 2018
Greece,"€780 (US$923) per month in 12 payments, €700 (US$732) per month in 14 payments.[37][100]",11070.0,13765.0,40,5.32,6.62,51.4%,1 April 2023
Grenada,"Minimum wage schedules set pay by occupation; for example, the minimum wage for domestic workers, for example, was EC$4.5 per hour, while that for a security guard was EC$8 per hour.[10]",,,40,,,,2017
Guatemala,"Q 81.87 (US$10.9) per day for agricultural and nonagricultural work and Q 74.89 (US$10) per day for work in export-sector regime factories. Minimum wage earners also are due a mandatory monthly bonus of Q 250 (US$33), and salaried workers receive two mandatory yearly bonuses (the bono 14 and the Christmas bonus), each equivalent to one month's salary.[10][18]",3924.0,6974.0,48,1.57,2.79,87.8%,1 January 2016
Guernsey,£8.70 stg per hour (US$11.60) for those aged 18+ £8.25 per hour (US$11.00) for those aged 17–18.[101],,,,,,,1 January 2021
Guinea,"The labor code allows the government to set a minimum hourly wage; however, the government has not exercised this provision except for setting the minimum wage for domestic workers at FG 440,000 (US$62) per month.[10]",,,48,,,,2017
Guinea-Bissau,"F.CFA 19,030 (US$30) per month plus a bag of rice[10]",412.0,935.0,45,0.18,0.4,58.1%,2017
Guyana,"G$35,000 (US$168) per month, or G$1,616 (US$7) per day, or G$202 (US$1) per hour.[102]",2015.0,3204.0,40,0.97,1.54,40.9%,1 July 2013
Haiti,G 290 per day for servants for an eight-hour workday; G 400 per day for segment A industries; G 350 per day for segment B industries; G 290 per day for segment C industries; G 350 per day for companies with piece work that re-export; and G 350 per day for companies with piece work that exports.[103][10][104][105][106],1014.0,3194.0,48,0.41,1.28,179.1%,1 August 2017
Honduras,"Minimum wages ranged from a low of L 6,096.71 per month, L 25.41 per hour to L 10,698.3 per month, L 44.58 per hour.[10][18][107]",2420.0,4948.0,44,1.06,2.16,104.5%,1 January 2018
Hong Kong,HK$37.5 (US$4.8) per hour is the minimum wage in Hong Kong.[108],10039.0,12093.0,40,4.83,5.81,20.6%,1 May 2019
Hungary,"Ft 232,000 (US$765) per month for unskilled labor, Ft 296,400 (US$978) per month for skilled labor.[109]",9184.0,18636.0,40,4.42,8.96,69.8%,1 January 2023
Iceland,"Unlike the other scandinavian countries, minimum wages are negotiated in various collectively bargained agreements and applied automatically to all employees in those occupations, regardless of union membership; while the agreements can be either industry- or sector-wide, and in some cases firm-specific, the minimum wage levels are occupation-specific.[10][37]",,,40,17.45,,,"3rd of december 2022 (conversion rate, 1st of september 2023)"
India,"Though stipulated by law, it varies from ₹160/- (US$2.16) per day in Bihar, ₹348/day (US$4.7) in Mumbai (2017)[110] ₹750/- (US$10) per day in Kerala. State governments set a separate minimum wage for agricultural workers.[10] The minimum wages are set according to Minimum Wages Act, 1948.[111]",674.0,2498.0,48,0.27,1.0,38%,2015
Indonesia,"Established by provincial and district authorities, which vary by province, district, and sector; the lowest minimum wage is in the province of Yogyakarta at Rp 1,704,608 (US$121) per month and the highest is in Jakarta at Rp 4,276,349 (US$303) per month.[18] [112]",2449.0,7028.0,40,1.18,3.38,60.5%,1 February 2020
Iran,"7,308,284 tomans (equal to Rls 73,082,840), and to (US$152 as 1 USD equals 481000 IRR on 3/20/2023) per month effective on the 2023 Persian New year;[113] set annually for each industrial sector and region. The standard workweek is 44 hours, and any work over 48 entitles the worker to overtime.[10]",20881.0,24253.0,44[114],9.13,10.6,131.1%,20 March 2023
Iraq,"ID 250,000 (US$214) per month.[10]",2069.0,5222.0,40,0.99,2.51,30.1%,2014
Ireland,"€11.30 (US$11.8) per hour, with sub-minimal rates for those aged 19 €10.17 (90% minimum), aged 18 €9.04 (80% minimum) and for those under the age of 18 €9.04 (70% of minimum) [115] Eurostat calculates the monthly rate for Ireland as (hourly rate x 39 hours x 52 weeks) / 12 months [116]",28302.0,23930.0,39,13.96,11.8,33.5%,1 January 2023
Isle of Man,£8.25 stg per hour (US$10.18) for those aged 18+ £6.15 per hour (US$7.59) for those aged under 18 £7.30 per hour (US$9.01) for development worker.[117],,,,,,,1 October 2019
Israel,"₪5,300 ILS (US$1641) per month; or ₪29.12 ILS (US$9.02) per hour.[118][119]",19690.0,14389.0,42,9.02,6.59,38.6%,1 April 2018
Italy,None; instead set generally through collective bargaining agreements on a sector-by-sector basis.[10][80],,,40,,,,2019
Jamaica,"J$325 (US$2) per hour.[120] J$52,000 (US$343) per month",4461.0,8476.0,40,2.14,4.08,96.1%,1 April 2023
Japan,"Ranges from ¥893–¥1,113 (US$8.14–US$10.14) per hour; varies on a prefectural and industry basis.[121][122]",16924.0,17335.0,40,8.14,8.33,41%,14 October 2023
Jersey,£8.32 stg per hour (US$10.27) for those aged 18+ £7.28 stg per hour (US$8.99) for trainees year 2. £6.02& stg per hour (US$7.43) for trainees year 1.[123],,,,,,,1 April 2020
Jordan,JD 260 (US$366.72) per month.[124],5408.0,11636.0,48,2.17,4.66,128.6%,25 January 2022
Kazakhstan,"₸70,000 (US$153) per month is the minimum wage in Kazakhstan.[125]",1972.0,7394.0,40,0.95,3.55,29.2%,1 January 2023
Kenya,"Set by the government by location, age and skill level; the lowest agricultural minimum wage for unskilled employees was KSh. 6,415.55/ (US$52.45) = per month, KSh. 269/40 (US$2.20) per day, excluding housing allowance.[10][18][126][127]",702.0,1656.0,52,0.26,0.61,52.5%,1 May 2017
Kiribati,"$A 1.30 per hour for local businesses and companies, while the minimum wage for overseas-funded projects is $A 3.00 an hour[10][128]",2033.0,2731.0,40,0.98,1.31,129.5%,1 November 2016
North Korea,"Averaging ₩5,000 – 10,000 (US$5.5 – US$11.1) per day.[129]",,,,,,,2014
South Korea,"₩9,620 (US$7.9 as of 2nd February 2023) per hour is the nominal minimum wage in South Korea,[130] although the real effective comparable minimum wage is higher at ₩11,544 (US$9.5 as of 2nd February 2023) per hour due to a mandatory weekly paid holiday for people that work more than 15 hours per week, a law that is absent in other developed countries.[131] The minimum wage law applies equally to foreign, temporary or young workers covering all industries and regions nationwide.",20990.0,23922.0,40,10.09,11.5,65.5%,1 January 2023
Kosovo,€170 (US$224) per month for workers between 35 and 65 years of age; €130 (US$150) for workers under 35 years of age.[10][132],2413.0,5667.0,40,1.16,2.72,56.3%,17 August 2011
Kuwait,KD 60 (US$216) per month.[10][133],2400.0,3600.0,48,0.96,1.44,4.8%,14 April 2010
Kyrgyzstan,"1,140 som (US$14) per month, nominally; used for administrative purpose.[10][134][135][136]",162.0,661.0,40,0.08,0.32,18.6%,1 January 2017
Laos,"₭800,000 (US$100) per month; additionally, employers were required to pay a ₭30,000 (US$3.74) meal allowance per day. The minimum wage for civil servants and state enterprise employees was last increased to ₭1,400,000 (US$170) per month.[10][137][138]",1732.0,5180.0,48,0.69,2.08,79.1%,2014
Latvia,€620 (US$733) per month.[139],8799.0,13053.0,40,4.23,6.28,51%,1 January 2023
Lebanon,"LL 675,000 (US$446) per month (US$22.5 using the parallel market rate as of 5 January 2022), or LL 30,000 (US$1) per day.[10][140]",5373.0,8947.0,48,2.15,3.58,62.5%,1 February 2012
Lesotho,"M 1,178 (US$102) per month to M 1,285 (US$112) per month; varied by sector.[10]",956.0,3027.0,45,0.41,1.29,102.6%,2014
Liberia,"L$15 (US$0.31) per hour not exceeding 8 hours per day, excluding benefits, for unskilled laborers; L$5,600 (US$114) per month for civil servants.[10]",4.0,10.0,48,0.0,0.0,1.2%,2014
Libya,LD 450 (US$325) per month; the government heavily subsidizes rent and utilities.[10][141][142][143],1169.0,9643.0,40,0.56,4.64,166.2%,1 March 2011
Liechtenstein,None[10],,,48,,,,2014
Lithuania,"€924(US$1092) per month, €5.65 (US$6.68) per hour for unskilled labor.[144]",13899.0,23043.0,40,6.68,11.08,77.2%,1 January 2024
Luxembourg,"€2,508.24 (US$2966) per month, €14.50 (US$17.15) per hour for unskilled workers over 18; increased by 20% for a skilled employee; decreased by 20% to 25% in the case of an adolescent worker.[145][37][146][147]",32103.0,26875.0,40,15.43,12.92,26.2%,1 April 2023
Macau,"MOP 6,656 (US$833) per month.[148]",9972.0,13584.0,40,4.79,6.53,11.7%,1 November 2020
Madagascar,"Ar 133,013.4 (US$30.82) per month, Ar 767.4. per hour for non-agricultural workers; Ar 134,920 (US$31.26) per month, 674.60 Ar. per hour for agricultural workers.[10][18]",376.0,1601.0,41[149],0.18,0.75,106.3%,1 January 2015
Malawi,MK 687.7 per day.[10][18][150],266.0,1035.0,48,0.11,0.41,88.6%,1 January 2016
Malaysia,"RM 1,500 (US$336) per month.[151]",4348.0,10843.0,45,1.86,4.63,39.2%,1 May 2022
Maldives,"None; Rf. 3,100/- (US$242) per month in the government sector.[10]",,,48,,,,2014
Mali,"F.CFA 28,465 (US$57), supplemented by a required package of benefits, including social security and health care.[10]",616.0,1560.0,48[152],0.25,0.62,73.4%,2014
Malta,€792.3 (US$767) per month.[153][154],11245.0,14406.0,40,5.41,6.93,38%,1 January 2022
Marshall Islands,US$2 per hour for government and private sector employees.[10][155],4160.0,3852.0,40[156],2.0,1.85,95.7%,6 March 1986
Mauritania,"UM 3,000 (US$83.8 in 2017 terms) per month for adults.[157][158]",982.0,295.0,40,0.47,0.14,7.7%,2011
Mauritius,"MRs. 2,035/- (US$56.77) per week for an unskilled worker in the Export Processing Zone(EPZ); MRs. 2,035/- per week for an unskilled factory worker outside the EPZ plus a ""salary compensation"" of MRs. 90/- per week; set by the government by sector, and increased each year based on the inflation rate. Both categories of workers also benefit from a ""special allowance"" from the revenue agency which means that all full-time workers in Mauritius earn a minimum wage of MRs. 2,250/- (US$62.76) per week or MRs. 9,000/- (US$251.05) per month [159][160][10]",2538.0,5438.0,45,1.08,2.32,25.8%,2019
Mexico,Mex$207.44 (US$10.23) per day; Mex$312.41 (US$15.41) per day on the Free Zone of the Northern Border. Day off is paid according to Mexican labor legislation so the total amount of paid hours is 56 (Art. 69) [161],3104.0,6224.0,48,1.24,2.49,36%,2023
Moldova,"4,000 lei (US$222) per month in the private sector.[162]",2715.0,6997.0,40,1.31,3.36,131.2%,1 January 2023
Monaco,"€1,779.82 (US$2105) per month, or €10.53 (US$12.45) per hour; same as the French minimum wage, plus a 5% adjustment.[163]",24092.0,,39,11.88,,17%[164],1 January 2019
Mongolia,"₮550,000 (US$145) per month.[165]",2316.0,7946.0,40,1.11,3.82,64.9%,1 January 2023
Montenegro,€450 (US$511) netto per month.[10][166],6387.0,12558.0,40,3.07,6.04,71.2%,1 January 2022
Morocco,"DH 3,500 (US$349) per month[167] in public sector, DH 3,111 (US$310) per month in private sector,[168] 84.37 Dh, (US$8.42) per day for agricultural workers.[169]",3997.0,8556.0,44[170],1.75,3.74,108.9%,1 July 2015
Mozambique,"Set for nine different economic sectors; ranges from Mt 3,002 (US$51) per month in the public sector, to Mt 7,465 (US$129) per month in the financial sector.[10][18]",550.0,1818.0,40,0.26,0.87,149.4%,1 May 2014
Myanmar,"Ks 3,600/- per day, Ks 450/- per hour.[10][171][172]",691.0,3011.0,44,0.3,1.32,52.6%,1 September 2015
Namibia,"None; the mining, construction, security and agricultural sectors set basic levels of pay through collective bargaining.[10]",,,45,,,,2014
Nauru,"None; there is a graduated salary system for public service officers and employees, none for private-sector workers.[10]",,,40[173],,,,2014
Nepal,"NRs. 15,000/- (US$126.98) per month[174]",1524.0,4913.0,48,0.61,1.97,198.3%,July 2021
Netherlands,"€1,934.40 (US$2288) per month, and €11.16 (US$13.2) per hour for persons 21 and older; between 30–80% (as low as €3.35 per hour) of this amount for persons aged 15–20.[175] An additional holiday allowance of 8% of the annual wage is paid in May or June, prorated for the time worked in the year.",24925.0,23679.0,40[176],11.98,11.38,46.9%,1 January 2023
New Zealand,"$NZ 22.70 (US$14.23) per hour for workers 18 years old or older, and $NZ 18.16 (US$11.38) per hour for those aged 16 or 17 or in training; there is no statutory minimum wage for employees who are aged 15 years or under.[177]",33487.0,28790.0,40,16.1,13.84,74.7%,1 April 2023
Nicaragua,"Set for nine different economic sectors; ranges from C$4,414 per month in the agricultural sector to C$7,133.44 per month in the financial sector.[18]",1506.0,4704.0,48,0.6,1.88,84.9%,1 March 2021
Niger,"F.CFA 30,047 (US$60) per month.[10][18]",650.0,1633.0,40,0.31,0.78,165.5%,17 August 2012
Nigeria,"₦30,000 per month (following the recent devaluation of the naira has fallen to US$76.92, or US$66.6 using the parallel market rate).[178][179]",901.0,2911.0,40,0.43,1.4,49.7%,18 November 2019
North Macedonia,"DEN 22,146, (US$406) gross per month.[180][181][182]",2418.0,5488.0,40,1.16,2.64,36.7%,1 April 2021
Northern Cyprus,"₺7,000 (US$537) per month (gross minimum wage).[183]",,,40,,,,1 January 2022
Norway,"None; wages normally fall within a national scale negotiated by labor, employers, and local governments.[10]",,,37.5,,,,2014
Oman,RO 225 (US$592) per month plus allowances of RO 100 (US$263) per month for citizens; does not apply to foreign workers.[10][184],10263.0,19500.0,45,4.39,8.33,42.5%,1 July 2013
Pakistan,"PRs. 17,500/- (US$107) per month.[10][18][41]",1289.0,6546.0,48,0.52,2.62,125%,1 June 2016
Palau,US$3.00 per hour; does not include foreign workers.[10][185],6240.0,6638.0,40[186],3.0,3.19,40.7%,1 October 2014
Palestine,"₪1,880 ILS (US$582) per month;[187][188][189]",6985.0,,45,2.98,,,2022
Panama,"B/.1.53 to B/.4.45 (US$1.53 – US$4.45) per hour, depending on region and sector. Food and the use of housing facilities were considered part of the salary for some workers, such as domestic and agricultural workers. Salaries for domestic workers ranged from B/.250 to B/.275 (US$250-US$275) per month. The agricultural and construction sectors received the lowest and highest minimum wages, respectively.[10][190][191]",3819.0,6473.0,48,1.53,2.59,28.1%,1 January 2018
Papua New Guinea,K 3.2 (US$1) per hour.[10][192],2086.0,2795.0,44[193],0.91,1.22,66.8%,1 August 2014
Paraguay,"₲2,289,324 (US$319) per month; The law discriminates against domestic workers, who are legally entitled to only 40 percent of the minimum wage. The law mandates that housing and food be counted towards domestic worker's salary.[10][18][194][195]",4055.0,10575.0,48,1.62,4.24,110.5%,1 July 2021
Peru,"S/.1,025 (US$244) per month.[196]",3170.0,7069.0,48,1.27,2.83,54.3%,1 June 2022
Philippines,Ranges from ₱341 (US$6.12) daily non-agricultural wage in Ilocos to ₱570 (US$10.23) daily non-agricultural wage in Metro Manila.[197],3009.0,7337.0,40[198],1.45,3.53,94%,1 April 2023
Poland,"zł 3,600 (US$933) per month, or zł 23.5 (US$5.77) per hour is the minimum wage in Poland.[199][18]",11192.0,22979.0,40,5.38,11.05,83.9%,1 July 2023
Portugal,"€886 per month (US$828) in 12 payments; €760 per month (US$710) in 14 payments for full-time workers, rural workers, and domestic employees ages 18 and older.[200][37]",9935.0,12353.0,40,4.78,5.94,40.3%,1 January 2023
Qatar,"QR 1,500-1,800 a month in total. QR 1,000 (US$274) base pay per month plus the provision of QR 500 a month (US$137) for accommodation. Add QR 300 a month (US$82.2) for food if those expenses are not provided as part of the contract).[201]",,,48,,,,2021
Romania,"3,000 lei (US$650) per month; else 18.145 lei (US$3.95) per hour for a full-time schedule of 165 hours per month is the minimum wage in Romania.[202]",8654.0,19048.0,40,4.16,9.16,82.7%,1 January 2023
